,PassengerId,Survived,Alive
0,892,0,No
1,893,1,Yes
2,894,0,No
3,895,0,No
4,896,1,Yes
5,897,0,No
6,898,1,Yes
7,899,0,No
8,900,1,Yes
9,901,0,No
10,902,0,No
11,903,0,No
12,904,1,Yes
13,905,0,No
14,906,1,Yes
15,907,1,Yes
16,908,0,No
17,909,0,No
18,910,1,Yes
19,911,1,Yes
20,912,0,No
21,913,0,No
22,914,1,Yes
23,915,0,No
24,916,1,Yes
25,917,0,No
26,918,1,Yes
27,919,0,No
28,920,0,No
29,921,0,No
30,922,0,No
31,923,0,No
32,924,1,Yes
33,925,1,Yes
34,926,0,No
35,927,0,No
36,928,1,Yes
37,929,1,Yes
38,930,0,No
39,931,0,No
40,932,0,No
41,933,0,No
42,934,0,No
43,935,1,Yes
44,936,1,Yes
45,937,0,No
46,938,0,No
47,939,0,No
48,940,1,Yes
49,941,1,Yes
50,942,0,No
51,943,0,No
52,944,1,Yes
53,945,1,Yes
54,946,0,No
55,947,0,No
56,948,0,No
57,949,0,No
58,950,0,No
59,951,1,Yes
60,952,0,No
61,953,0,No
62,954,0,No
63,955,1,Yes
64,956,0,No
65,957,1,Yes
66,958,1,Yes
67,959,0,No
68,960,0,No
69,961,1,Yes
70,962,1,Yes
71,963,0,No
72,964,1,Yes
73,965,0,No
74,966,1,Yes
75,967,0,No
76,968,0,No
77,969,1,Yes
78,970,0,No
79,971,1,Yes
80,972,0,No
81,973,0,No
82,974,0,No
83,975,0,No
84,976,0,No
85,977,0,No
86,978,1,Yes
87,979,1,Yes
88,980,1,Yes
89,981,0,No
90,982,1,Yes
91,983,0,No
92,984,1,Yes
93,985,0,No
94,986,0,No
95,987,0,No
96,988,1,Yes
97,989,0,No
98,990,1,Yes
99,991,0,No
100,992,1,Yes
101,993,0,No
102,994,0,No
103,995,0,No
104,996,1,Yes
105,997,0,No
106,998,0,No
107,999,0,No
108,1000,0,No
109,1001,0,No
110,1002,0,No
111,1003,1,Yes
112,1004,1,Yes
113,1005,1,Yes
114,1006,1,Yes
115,1007,0,No
116,1008,0,No
117,1009,1,Yes
118,1010,0,No
119,1011,1,Yes
120,1012,1,Yes
121,1013,0,No
122,1014,1,Yes
123,1015,0,No
124,1016,0,No
125,1017,1,Yes
126,1018,0,No
127,1019,1,Yes
128,1020,0,No
129,1021,0,No
130,1022,0,No
131,1023,0,No
132,1024,1,Yes
133,1025,0,No
134,1026,0,No
135,1027,0,No
136,1028,0,No
137,1029,0,No
138,1030,1,Yes
139,1031,0,No
140,1032,1,Yes
141,1033,1,Yes
142,1034,0,No
143,1035,0,No
144,1036,0,No
145,1037,0,No
146,1038,0,No
147,1039,0,No
148,1040,0,No
149,1041,0,No
150,1042,1,Yes
151,1043,0,No
152,1044,0,No
153,1045,1,Yes
154,1046,0,No
155,1047,0,No
156,1048,1,Yes
157,1049,1,Yes
158,1050,0,No
159,1051,1,Yes
160,1052,1,Yes
161,1053,0,No
162,1054,1,Yes
163,1055,0,No
164,1056,0,No
165,1057,1,Yes
166,1058,0,No
167,1059,0,No
168,1060,1,Yes
169,1061,1,Yes
170,1062,0,No
171,1063,0,No
172,1064,0,No
173,1065,0,No
174,1066,0,No
175,1067,1,Yes
176,1068,1,Yes
177,1069,0,No
178,1070,1,Yes
179,1071,1,Yes
180,1072,0,No
181,1073,0,No
182,1074,1,Yes
183,1075,0,No
184,1076,1,Yes
185,1077,0,No
186,1078,1,Yes
